id;nombre;cantidad;fecha_ingreso;fecha_creacion;fecha_modificacion;usuario_creacion;usuario_modificacion
1;actitud;22191;2022-08-03T21:35:15;2022-08-04T14:26:11;2022-08-04T00:43:00;complejidad Buckinghamshire Morado;online
2;GB Rústico SDD;19378;2022-08-04T04:05:56;2022-08-04T14:39:25;2022-08-04T10:52:32;sensor Dinánmico;Gorro Canada
3;Datos arquitectura repurpose;52451;2022-08-04T11:18:03;2022-08-04T15:10:43;2022-08-04T06:21:39;Camerún portals;calculating Ladrillo North
4;payment;37270;2022-08-03T22:18:26;2022-08-04T13:41:44;2022-08-04T10:09:11;objetos invoice;Extrarradio
5;innovative Seguro;44740;2022-08-03T21:01:50;2022-08-04T04:02:26;2022-08-04T10:35:06;Navarra;Implementación connect
6;Queso;7688;2022-08-03T23:58:43;2022-08-03T23:40:29;2022-08-04T03:00:33;state Sabroso Buckinghamshire;Cine Atún
7;Kenia;7305;2022-08-04T03:03:45;2022-08-04T02:47:57;2022-08-04T02:18:06;Navarra terciaria generating;Amarillo plug-and-play
8;Madera;38494;2022-08-04T12:02:23;2022-08-04T10:11:13;2022-08-04T18:45:21;CSS red;focus matrix
9;mindshare;42494;2022-08-04T06:33:59;2022-08-04T11:35:28;2022-08-03T22:47:52;European Gerente;Masía data-warehouse circuito
10;architect Corporativo;31195;2022-08-04T13:50:26;2022-08-04T18:04:59;2022-08-03T22:02:54;invoice Informática;Andalucía Colonia
